,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,yrs_renovated,sale_month
1,6414100192,12/9/2014,538000.0,3,2.25,2570,7242,2.0,0.0,3,7,400.0,1951,1991.0,98125,1690,29.0,12
2,5631500400,2/25/2015,180000.0,2,1.0,770,10000,1.0,0.0,3,6,0.0,1933,0.0,98028,2720,0.0,2
3,2487200875,12/9/2014,604000.0,4,3.0,1960,5000,1.0,0.0,5,7,910.0,1965,0.0,98136,1360,0.0,12
4,1954400510,2/18/2015,510000.0,3,2.0,1680,8080,1.0,0.0,3,8,0.0,1987,0.0,98074,1800,0.0,2
5,7237550310,5/12/2014,1230000.0,4,4.5,5420,101930,1.0,0.0,3,11,1530.0,2001,0.0,98053,4760,0.0,5
6,1321400060,6/27/2014,257500.0,3,2.25,1715,6819,2.0,0.0,3,7,?,1995,0.0,98003,2238,0.0,6
7,2008000270,1/15/2015,291850.0,3,1.5,1060,9711,1.0,0.0,3,7,0.0,1963,0.0,98198,1650,0.0,1
8,2414600126,4/15/2015,229500.0,3,1.0,1780,7470,1.0,0.0,3,7,730.0,1960,0.0,98146,1780,0.0,4
9,3793500160,3/12/2015,323000.0,3,2.5,1890,6560,2.0,0.0,3,7,0.0,2003,0.0,98038,2390,0.0,3
11,9212900260,5/27/2014,468000.0,2,1.0,1160,6000,1.0,0.0,4,7,300.0,1942,0.0,98115,1330,0.0,5
12,114101516,5/28/2014,310000.0,3,1.0,1430,19901,1.5,0.0,4,7,0.0,1927,0.0,98028,1780,0.0,5
13,6054650070,10/7/2014,400000.0,3,1.75,1370,9680,1.0,0.0,4,7,0.0,1977,0.0,98074,1370,0.0,10
14,1175000570,3/12/2015,530000.0,5,2.0,1810,4850,1.5,0.0,3,7,0.0,1900,0.0,98107,1360,0.0,3
15,9297300055,1/24/2015,650000.0,4,3.0,2950,5000,2.0,0.0,3,9,970.0,1979,0.0,98126,2140,0.0,1
16,1875500060,7/31/2014,395000.0,3,2.0,1890,14040,2.0,0.0,3,7,0.0,1994,0.0,98019,1890,0.0,7
17,6865200140,5/29/2014,485000.0,4,1.0,1600,4300,1.5,0.0,4,7,0.0,1916,0.0,98103,1610,0.0,5
18,16000397,12/5/2014,189000.0,2,1.0,1200,9850,1.0,0.0,4,7,?,1921,0.0,98002,1060,0.0,12
19,7983200060,4/24/2015,230000.0,3,1.0,1250,9774,1.0,0.0,4,7,0.0,1969,0.0,98003,1280,0.0,4
20,6300500875,5/14/2014,385000.0,4,1.75,1620,4980,1.0,0.0,4,7,760.0,1947,0.0,98133,1400,0.0,5
21,2524049179,8/26/2014,2000000.0,3,2.75,3050,44867,1.0,0.0,3,9,720.0,1968,0.0,98040,4110,0.0,8
22,7137970340,7/3/2014,285000.0,5,2.5,2270,6300,2.0,0.0,3,8,0.0,1995,0.0,98092,2240,0.0,7
24,3814700200,11/20/2014,329000.0,3,2.25,2450,6500,2.0,0.0,4,8,0.0,1985,0.0,98030,2200,0.0,11
25,1202000200,11/3/2014,233000.0,3,2.0,1710,4697,1.5,0.0,5,6,0.0,1941,0.0,98002,1030,0.0,11
26,1794500383,6/26/2014,937000.0,3,1.75,2450,2691,2.0,0.0,3,8,700.0,1915,0.0,98119,1760,0.0,6
27,3303700376,12/1/2014,667000.0,3,1.0,1400,1581,1.5,0.0,5,8,0.0,1909,0.0,98112,1860,0.0,12
28,5101402488,6/24/2014,438000.0,3,1.75,1520,6380,1.0,0.0,3,7,730.0,1948,0.0,98115,1520,0.0,6
29,1873100390,3/2/2015,719000.0,4,2.5,2570,7173,2.0,0.0,3,8,0.0,2005,0.0,98052,2630,0.0,3
30,8562750320,11/10/2014,580500.0,3,2.5,2320,3980,2.0,0.0,3,8,0.0,2003,0.0,98027,2580,0.0,11
31,2426039314,12/1/2014,280000.0,2,1.5,1190,1265,3.0,0.0,3,7,0.0,2005,0.0,98133,1390,0.0,12
32,461000390,6/24/2014,687500.0,4,1.75,2330,5000,1.5,0.0,4,7,820.0,1929,0.0,98117,1460,0.0,6
33,7589200193,11/10/2014,535000.0,3,1.0,1090,3000,1.5,0.0,4,8,0.0,1929,0.0,98117,1570,0.0,11
34,7955080270,12/3/2014,322500.0,4,2.75,2060,6659,1.0,0.0,3,7,780.0,1981,0.0,98058,2020,0.0,12
35,9547205180,6/13/2014,696000.0,3,2.5,2300,3060,1.5,0.0,3,8,790.0,1930,2002.0,98115,1590,18.0,6
36,9435300030,5/28/2014,550000.0,4,1.0,1660,34848,1.0,0.0,1,5,730.0,1933,0.0,98052,2160,0.0,5
37,2768000400,12/30/2014,640000.0,4,2.0,2360,6000,2.0,0.0,4,8,0.0,1904,0.0,98107,1730,0.0,12
38,7895500070,2/13/2015,240000.0,4,1.0,1220,8075,1.0,0.0,2,7,330.0,1969,0.0,98001,1290,0.0,2
39,2078500320,6/20/2014,605000.0,4,2.5,2620,7553,2.0,0.0,3,8,0.0,1996,0.0,98056,2620,0.0,6
41,7766200013,8/11/2014,775000.0,4,2.25,4220,24186,1.0,0.0,3,8,1620.0,1984,0.0,98166,2410,0.0,8
42,7203220400,7/7/2014,861990.0,5,2.75,3595,5639,2.0,0.0,3,9,?,2014,0.0,98053,3625,0.0,7
43,9270200160,10/28/2014,685000.0,3,1.0,1570,2280,2.0,0.0,3,7,0.0,1922,0.0,98119,1580,0.0,10
44,1432701230,7/29/2014,309000.0,3,1.0,1280,9656,1.0,0.0,4,6,360.0,1959,0.0,98058,1340,0.0,7
45,8035350320,7/18/2014,488000.0,3,2.5,3160,13603,2.0,0.0,3,8,0.0,2003,0.0,98019,3050,0.0,7
46,8945200830,3/25/2015,210490.0,3,1.0,990,8528,1.0,0.0,3,6,0.0,1966,0.0,98023,1228,0.0,3
47,4178300310,7/16/2014,785000.0,4,2.5,2290,13416,2.0,0.0,4,9,0.0,1981,0.0,98007,2680,0.0,7
48,9215400105,4/28/2015,450000.0,3,1.75,1250,5963,1.0,0.0,4,7,0.0,1953,0.0,98115,970,0.0,4
49,822039084,3/11/2015,1350000.0,3,2.5,2753,65005,1.0,1.0,5,9,588.0,1953,0.0,98070,2680,0.0,3
50,5245600105,9/16/2014,228000.0,3,1.0,1190,9199,1.0,0.0,3,7,0.0,1955,0.0,98148,1190,0.0,9
51,7231300125,2/17/2015,345000.0,5,2.5,3150,9134,1.0,0.0,4,8,1510.0,1966,0.0,98056,1990,0.0,2
52,7518505990,12/31/2014,600000.0,3,1.75,1410,4080,1.0,0.0,4,7,410.0,1950,0.0,98117,1410,0.0,12
53,3626039271,2/5/2015,585000.0,2,1.75,1980,8550,1.0,0.0,3,7,990.0,1981,0.0,98117,1480,0.0,2
54,4217401195,3/3/2015,920000.0,5,2.25,2730,6000,1.5,0.0,3,8,600.0,1927,0.0,98105,2730,0.0,3
56,9478500640,8/19/2014,292500.0,4,2.5,2250,4495,2.0,0.0,3,7,0.0,2008,0.0,98042,2250,0.0,8
57,2799800710,4/7/2015,301000.0,3,2.5,2420,4750,2.0,0.0,3,8,0.0,2003,0.0,98042,2690,0.0,4
58,7922800400,8/27/2014,951000.0,5,3.25,3250,14342,2.0,0.0,4,8,0.0,1968,0.0,98008,2960,0.0,8
59,8079040320,2/23/2015,430000.0,4,3.0,1850,9976,2.0,0.0,3,8,0.0,1991,0.0,98059,2270,0.0,2
61,9558200045,8/28/2014,289000.0,3,1.75,1260,8400,1.0,0.0,3,7,0.0,1954,0.0,98148,1290,0.0,8
63,9528102996,12/7/2014,549000.0,3,1.75,1540,1044,3.0,0.0,3,8,0.0,2014,0.0,98115,1580,0.0,12
64,1189001180,6/3/2014,425000.0,3,2.25,1660,6000,1.0,0.0,3,7,550.0,1979,0.0,98122,1440,0.0,6
65,3253500160,11/20/2014,317625.0,3,2.75,2770,3809,1.5,0.0,5,7,1000.0,1925,0.0,98144,1440,0.0,11
67,3717000160,10/9/2014,287000.0,4,2.5,2240,4648,2.0,0.0,3,7,0.0,2005,0.0,98001,2221,0.0,10
68,1274500060,8/25/2014,204000.0,3,1.0,1000,12070,1.0,0.0,4,7,0.0,1968,0.0,98042,1010,0.0,8
69,1802000060,6/12/2014,1330000.0,5,2.25,3200,20158,1.0,0.0,3,8,1600.0,1965,0.0,98004,3390,0.0,6
70,1525059190,9/12/2014,1040000.0,5,3.25,4770,50094,1.0,0.0,4,11,1700.0,1973,0.0,98005,3530,0.0,9
71,1049000060,1/5/2015,325000.0,3,2.0,1260,5612,1.0,0.0,4,7,0.0,1972,0.0,98034,1640,0.0,1
72,8820901275,6/10/2014,571000.0,4,2.0,2750,7807,1.5,0.0,5,7,500.0,1916,0.0,98125,1510,0.0,6
73,5416510140,7/10/2014,360000.0,4,2.5,2380,5000,2.0,0.0,3,8,0.0,2005,0.0,98038,2420,0.0,7
74,3444100400,3/16/2015,349000.0,3,1.75,1790,50529,1.0,0.0,5,7,700.0,1965,0.0,98042,1940,0.0,3
75,3276920270,11/5/2014,832500.0,4,4.0,3430,35102,2.0,0.0,4,10,1040.0,1986,0.0,98075,3240,0.0,11
